origin,destination,train_type,train_class,fare,start_date_hour,start_date_minute,end_date_hour,end_date_minute,date_day,price
VALLADOLID,MADRID,MD,Turista,Adulto ida,10,38,13,25,2,24.95
MADRID,TARRAGONA,AVE,Turista,Flexible,9,30,11,57,3,82.6
MADRID,ZARAGOZA,AVE,Preferente,Promo +,6,20,7,41,6,54.3
MADRID,VALLADOLID,MD,Turista,Adulto ida,18,27,21,19,4,24.95
MADRID,VALLADOLID,MD,Turista,Adulto ida,18,27,21,19,1,24.95
MADRID,ZARAGOZA,AVE,Turista,Promo,5,50,7,5,1,34.55
BARCELONA,MADRID,AVE,Turista,Promo +,7,0,9,30,2,107.95
MADRID,TARRAGONA,AVE,Turista,Flexible,17,30,20,3,5,82.6
MADRID,BARCELONA,AVE,Turista,Promo +,6,10,8,40,2,91.5
MADRID,TARRAGONA,AVE,Turista,Flexible,20,45,23,18,4,82.6
TARRAGONA,MADRID,AVE,Turista,Promo +,21,33,0,7,7,48.75
MADRID,TARRAGONA,AVE,Turista,Flexible,19,30,22,4,4,82.6
ZARAGOZA,MADRID,AVE,Turista,Promo +,9,0,10,35,6,28.4
BARCELONA,MADRID,AVLO,Turista,Básica,12,40,15,15,1,25.0
MADRID,ZARAGOZA,AVE-TGV,Turista,Promo +,13,25,14,49,1,41.8
MADRID,TARRAGONA,AVE,Turista,Promo +,19,30,22,4,1,61.95
TARRAGONA,MADRID,AVE-TGV,Turista,Flexible,13,18,15,41,1,82.6
MADRID,BARCELONA,AVLO,Turista,Básica,16,0,18,30,3,40.0
TARRAGONA,MADRID,AVE,Turista,Flexible,18,33,21,10,7,82.6
ZARAGOZA,MADRID,AVE,Turista,Flexible,14,51,16,10,5,55.7
BARCELONA,MADRID,AVE,Turista,Promo +,17,0,19,45,4,91.5
MADRID,ZARAGOZA,AVE,Turista,Promo +,20,45,22,6,2,32.85
MADRID,TARRAGONA,AVE,Turista,Flexible,17,30,20,3,5,82.6
ZARAGOZA,MADRID,AV City,Turista,Flexible,19,0,20,30,7,48.2
ZARAGOZA,MADRID,AVE,Turista,Flexible,13,43,15,10,4,55.7
BARCELONA,MADRID,AVE,Turista,Promo,7,25,10,1,1,86.05
TARRAGONA,MADRID,AVE,Turista,Flexible,7,57,10,1,4,82.6
BARCELONA,MADRID,AVLO,Turista,Básica,16,25,18,55,4,35.0
ZARAGOZA,MADRID,AVE,Turista,Flexible,13,43,15,10,6,55.7
BARCELONA,MADRID,AVE-TGV,Turista,Promo +,12,46,15,41,7,91.5
MADRID,BARCELONA,AVE,Turista,Promo +,20,0,22,30,4,107.95
MADRID,BARCELONA,AVE,Turista,Promo,8,30,11,15,5,86.05
MADRID,BARCELONA,AVLO,Turista,Básica,9,15,12,0,2,35.0
MADRID,BARCELONA,AVE,Turista,Promo +,6,30,9,20,5,64.25
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,17,0,18,5,1,31.1
ZARAGOZA,MADRID,AVE,Turista,Flexible,13,43,15,10,5,55.7
BARCELONA,MADRID,AVE,Turista,Promo,14,0,17,10,1,67.5
MADRID,ZARAGOZA,AVE,Turista Plus,Promo,15,30,16,51,4,46.75
MADRID,BARCELONA,AVE,Turista,Promo +,6,30,9,20,3,91.5
MADRID,TARRAGONA,AVE,Turista,Promo +,5,50,8,17,5,48.75
BARCELONA,MADRID,AVE,Turista,Promo,14,0,17,10,3,86.05
TARRAGONA,MADRID,AVE,Turista,Flexible,12,33,15,10,2,82.6
MADRID,ZARAGOZA,AVE,Turista,Flexible,11,30,12,51,7,55.7
BARCELONA,MADRID,AVE,Turista,Promo,17,25,19,55,1,79.65
ZARAGOZA,MADRID,AVE,Turista,Promo,22,43,0,7,3,25.6
BARCELONA,MADRID,AVE,Turista,Promo +,10,0,13,10,5,91.5
MADRID,ZARAGOZA,AVE,Turista,Flexible,6,30,7,51,1,55.7
ZARAGOZA,MADRID,AVE,Turista,Promo,9,0,10,35,1,34.55
MADRID,BARCELONA,AVE,Turista,Promo +,18,30,21,20,6,91.5
MADRID,BARCELONA,AVE,Turista,Promo,10,30,13,15,4,86.05
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,14,10,15,15,2,31.1
ZARAGOZA,MADRID,AVE,Turista,Flexible,11,43,13,10,5,55.7
MADRID,BARCELONA,AVE-TGV,Turista,Promo +,13,25,16,24,5,91.5
MADRID,BARCELONA,AVE,Turista,Promo +,6,30,9,20,3,91.5
MADRID,BARCELONA,AVLO,Turista,Básica,20,35,23,20,2,30.0
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,15,10,16,15,5,31.1
TARRAGONA,MADRID,AVE,Turista,Flexible,12,33,15,10,6,82.6
MADRID,BARCELONA,AVE,Turista,Promo,5,50,8,55,5,50.1
BARCELONA,MADRID,AVE,Turista,Promo +,11,0,13,45,2,91.5
MADRID,TARRAGONA,AVE,Turista Plus,Promo +,15,30,18,3,2,74.4
MADRID,BARCELONA,AVLO,Turista,Básica,16,0,18,30,7,60.0
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,7,52,8,57,4,31.1
BARCELONA,MADRID,AVE,Turista,Promo +,14,0,17,10,4,72.95
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,6,40,7,45,3,31.1
MADRID,BARCELONA,AVE,Turista,Promo +,18,30,21,20,4,91.5
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,6,23,7,28,2,31.1
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,15,40,16,45,1,31.1
VALLADOLID,MADRID,MD,Turista,Adulto ida,10,38,13,25,3,24.95
MADRID,TARRAGONA,AVE,Turista,Promo +,5,50,8,17,5,48.75
MADRID,ZARAGOZA,AVE,Turista,Flexible,16,30,17,45,4,55.7
VALLADOLID,MADRID,MD,Turista,Adulto ida,15,54,18,42,5,24.95
MADRID,ZARAGOZA,AVE,Turista,Flexible,6,30,7,51,4,55.7
MADRID,VALLADOLID,MD,Turista,Adulto ida,20,28,23,20,7,24.95
MADRID,VALLADOLID,MD,Turista,Adulto ida,17,12,20,5,4,24.95
MADRID,TARRAGONA,AVE,Turista,Flexible,17,30,20,3,7,82.6
ZARAGOZA,MADRID,AVE,Turista,Flexible,8,31,9,50,1,55.7
MADRID,BARCELONA,AVE,Turista,Promo,6,30,9,20,4,86.05
BARCELONA,MADRID,AVE,Turista,Promo,7,40,10,10,1,101.5
MADRID,ZARAGOZA,AVE,Turista,Flexible,8,30,9,45,3,55.7
MADRID,BARCELONA,AVE,Turista,Promo,20,45,23,55,3,67.5
BARCELONA,MADRID,AVE,Turista,Promo +,16,0,19,10,3,91.5
BARCELONA,MADRID,AVE,Turista,Promo,15,0,17,45,1,86.05
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,7,50,8,55,3,31.1
MADRID,ZARAGOZA,AVE,Turista,Flexible,6,30,7,51,4,55.7
MADRID,TARRAGONA,AVE,Turista,Flexible,7,30,10,3,6,82.6
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,15,40,16,45,4,31.1
MADRID,VALLADOLID,TRENHOTEL,Turista,Flexible,22,14,0,56,1,28.2
MADRID,TARRAGONA,AVE,Turista,Flexible,11,30,14,3,2,82.6
MADRID,ZARAGOZA,AVE,Turista,Flexible,17,30,18,51,3,55.7
VALLADOLID,MADRID,MD,Turista,Adulto ida,17,47,20,48,3,24.95
MADRID,VALLADOLID,MD,Turista,Adulto ida,12,26,15,16,1,24.95
MADRID,BARCELONA,AVE,Preferente,Promo +,16,30,19,15,1,108.25
MADRID,ZARAGOZA,AVE,Turista,Flexible,16,30,17,45,6,55.7
BARCELONA,MADRID,AVE,Turista,Promo +,15,25,17,55,5,107.95
BARCELONA,MADRID,AVE,Turista,Promo +,19,25,21,55,2,75.8
MADRID,TARRAGONA,AVE,Preferente,Promo +,18,30,20,43,6,80.55
BARCELONA,MADRID,AVE,Turista,Promo,7,25,10,1,4,86.05
ZARAGOZA,MADRID,AVE,Turista,Flexible,10,26,11,45,6,55.7
BARCELONA,MADRID,AVE,Turista,Promo +,18,0,21,10,2,91.5
MADRID,BARCELONA,AVE,Turista Plus,Promo,15,30,18,40,2,81.05
BARCELONA,MADRID,AVE,Turista,Promo +,8,25,10,55,5,96.4
BARCELONA,MADRID,AVE,Turista,Promo +,8,0,11,10,1,91.5
BARCELONA,MADRID,AVE,Turista,Promo,19,0,22,0,5,86.05
BARCELONA,MADRID,AVE,Turista,Promo +,15,25,17,55,5,107.95
BARCELONA,MADRID,AVLO,Turista,Básica,16,25,18,55,3,25.0
MADRID,BARCELONA,AVE,Turista,Promo,14,0,16,30,2,79.65
ZARAGOZA,MADRID,AVE,Turista,Flexible,19,43,21,10,5,55.7
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,6,45,7,50,4,31.1
MADRID,BARCELONA,AVE,Turista,Promo +,19,30,22,40,2,91.5
MADRID,BARCELONA,AVLO,Turista,Básica,20,35,23,20,5,50.0
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,14,10,15,15,2,31.1
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,16,27,17,32,5,31.1
MADRID,ZARAGOZA,AVE,Turista,Flexible,18,30,19,45,5,55.7
ZARAGOZA,MADRID,AVLO,Turista,Básica,10,53,12,10,3,15.0
TARRAGONA,MADRID,AVE,Turista,Flexible,14,33,17,10,3,82.6
MADRID,ZARAGOZA,AVE,Preferente,Promo +,18,30,19,45,6,54.3
ZARAGOZA,MADRID,AVE,Turista,Flexible,20,41,22,0,7,55.7
ZARAGOZA,MADRID,AVLO,Turista,Básica,10,53,12,10,1,20.0
MADRID,ZARAGOZA,AVE,Turista,Promo +,19,5,20,30,1,28.4
MADRID,BARCELONA,AVE,Turista,Promo +,8,20,11,5,2,91.5
TARRAGONA,MADRID,AVE-TGV,Turista,Flexible,13,18,15,41,7,82.6
MADRID,VALLADOLID,MD,Turista,Adulto ida,20,28,23,20,4,24.95
MADRID,BARCELONA,AVE,Turista,Promo +,7,0,9,30,3,107.95
MADRID,ZARAGOZA,AVE,Turista,Flexible,10,30,11,45,1,55.7
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,17,45,18,50,3,31.1
MADRID,ZARAGOZA,AVE,Turista,Flexible,8,30,9,45,7,55.7
ZARAGOZA,MADRID,AVE,Turista,Flexible,11,43,13,10,5,55.7
ZARAGOZA,MADRID,AVE,Turista,Promo +,22,43,0,7,7,32.85
BARCELONA,MADRID,AVE,Turista,Promo +,6,5,9,15,2,81.7
BARCELONA,MADRID,AVE,Turista,Promo,17,0,19,45,1,86.05
BARCELONA,MADRID,AVE,Turista,Flexible,16,0,19,10,7,108.9
MADRID,BARCELONA,AVE,Turista,Flexible,19,30,22,40,5,108.9
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,12,5,13,10,5,31.1
MADRID,ZARAGOZA,AVE,Turista,Promo +,20,45,22,6,3,41.8
TARRAGONA,MADRID,AVE,Turista,Flexible,10,33,13,10,2,82.6
BARCELONA,MADRID,AVE,Turista,Promo +,7,40,10,10,2,107.95
BARCELONA,MADRID,AVE,Turista,Promo +,9,0,11,45,1,91.5
TARRAGONA,MADRID,AVE,Turista,Flexible,7,57,10,1,1,82.6
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,17,45,18,50,7,31.1
MADRID,TARRAGONA,AVE,Turista,Flexible,11,30,14,3,2,82.6
TARRAGONA,MADRID,AVE,Turista,Promo +,21,33,0,7,6,61.95
VALLADOLID,MADRID,MD,Turista,Adulto ida,10,38,13,25,2,24.95
MADRID,ZARAGOZA,AVE,Turista,Flexible,11,30,12,51,5,55.7
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,6,23,7,28,2,31.1
MADRID,ZARAGOZA,AVE,Turista,Promo +,19,5,20,30,1,28.4
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,10,15,11,20,2,31.1
VALLADOLID,MADRID,MD,Turista,Adulto ida,17,47,20,48,6,24.95
TARRAGONA,MADRID,AVE,Turista,Flexible,10,33,13,10,1,82.6
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,21,30,22,35,3,31.1
BARCELONA,MADRID,AVLO,Turista,Básica,20,0,22,45,1,35.0
MADRID,TARRAGONA,AVE,Turista,Promo,19,30,22,4,1,57.8
BARCELONA,MADRID,AVE,Turista,Promo,13,25,16,10,1,86.05
BARCELONA,MADRID,AVE-TGV,Turista,Promo,12,46,15,41,4,86.05
MADRID,BARCELONA,AVE,Preferente,Promo +,17,30,20,40,1,108.25
ZARAGOZA,MADRID,AVE,Turista,Promo,9,0,10,35,3,30.1
MADRID,BARCELONA,AVE,Turista,Promo,14,30,17,21,2,58.8
MADRID,BARCELONA,AVE,Preferente,Promo +,16,30,19,20,7,108.25
BARCELONA,MADRID,AVE,Turista,Promo +,18,25,20,55,5,107.94
MADRID,BARCELONA,AVE,Turista,Promo +,17,30,20,40,4,91.5
MADRID,TARRAGONA,AVE,Turista,Promo +,20,45,23,18,3,61.95
MADRID,TARRAGONA,AVE,Turista,Flexible,9,30,11,57,4,82.6
MADRID,BARCELONA,AVE,Turista,Promo +,14,0,16,30,2,86.1
TARRAGONA,MADRID,AVE-TGV,Turista,Flexible,13,18,15,41,4,82.6
MADRID,TARRAGONA,AVE,Turista,Flexible,11,30,14,3,2,82.6
MADRID,TARRAGONA,AVE,Turista,Flexible,7,30,10,3,6,82.6
ZARAGOZA,MADRID,AVE,Turista,Flexible,8,31,9,50,2,55.7
ZARAGOZA,MADRID,AVE,Preferente,Promo +,16,26,17,45,6,54.3
BARCELONA,MADRID,AVE,Preferente,Promo,18,0,21,10,4,99.1
MADRID,ZARAGOZA,AVE,Turista,Flexible,7,30,8,51,4,55.7
MADRID,TARRAGONA,AVE,Turista,Flexible,11,30,14,3,1,82.6
ZARAGOZA,MADRID,AVE,Turista,Flexible,12,26,13,45,2,55.7
ZARAGOZA,MADRID,AVE,Turista,Flexible,16,26,17,45,4,55.7
BARCELONA,MADRID,AVE,Turista,Promo,8,25,10,55,3,101.5
VALLADOLID,MADRID,MD,Turista,Adulto ida,6,33,9,41,2,24.95
MADRID,BARCELONA,AVLO,Turista,Básica,20,35,23,20,5,50.0
MADRID,BARCELONA,AVLO,Turista,Básica,16,0,18,30,4,40.0
MADRID,BARCELONA,AVE,Turista,Promo,17,0,19,30,1,89.95
MADRID,ZARAGOZA,AVE,Turista,Flexible,16,5,17,26,5,55.7
BARCELONA,MADRID,AVE,Turista,Promo +,15,0,17,45,7,91.5
MADRID,BARCELONA,AVE,Turista,Promo +,7,30,10,40,6,91.5
BARCELONA,MADRID,AVLO,Turista,Básica,12,40,15,15,1,25.0
MADRID,BARCELONA,AVE,Turista,Promo +,17,30,20,40,6,81.7
BARCELONA,MADRID,AVE,Turista,Promo +,19,25,21,55,2,75.8
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,19,25,20,31,4,31.1
BARCELONA,MADRID,AVLO,Turista,Básica,20,0,22,45,5,55.0
BARCELONA,MADRID,AVE,Turista,Promo,6,40,9,25,1,58.8
MADRID,BARCELONA,AVLO,Turista,Básica,9,15,12,0,7,35.0
ZARAGOZA,MADRID,AVE,Turista,Flexible,10,26,11,45,4,55.7
TARRAGONA,MADRID,AVE,Turista,Flexible,10,33,13,10,1,82.6
MADRID,TARRAGONA,AVE,Turista,Flexible,9,30,11,57,4,82.6
MADRID,VALLADOLID,MD,Turista,Adulto ida,6,43,9,43,3,24.95
MADRID,TARRAGONA,AVE,Turista,Flexible,11,30,14,3,2,82.6
ZARAGOZA,MADRID,AVE,Turista,Flexible,13,43,15,10,7,55.7
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,18,45,19,50,1,31.1
MADRID,ZARAGOZA,AVE-TGV,Turista,Promo +,13,25,14,49,3,46.8
MADRID,BARCELONA,AVE,Turista,Promo +,8,30,11,20,7,91.5
TARRAGONA,MADRID,AVE,Turista,Flexible,16,33,19,10,5,82.6
BARCELONA,MADRID,AVE,Turista,Promo,10,0,13,10,5,86.05
ZARAGOZA,MADRID,AVE,Turista,Flexible,16,26,17,45,1,55.7
MADRID,TARRAGONA,AVE,Turista,Flexible,17,30,20,3,3,82.6
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,6,23,7,28,1,31.1
MADRID,BARCELONA,AVE,Turista,Promo +,8,0,10,30,5,96.4
ZARAGOZA,MADRID,AVE,Turista,Flexible,15,43,17,10,3,55.7
TARRAGONA,MADRID,AVE,Preferente,Promo +,19,32,22,0,6,80.55
MADRID,BARCELONA,AVE,Turista,Promo +,8,30,11,15,2,91.5
MADRID,BARCELONA,AVE,Turista,Promo +,18,0,20,30,2,96.4
MADRID,BARCELONA,AVE,Turista,Flexible,12,30,15,30,6,108.9
MADRID,ZARAGOZA,AVLO,Turista,Básica,20,35,21,50,4,25.0
TARRAGONA,MADRID,AVE,Turista,Flexible,8,33,11,10,4,82.6
ZARAGOZA,MADRID,AVE,Preferente,Promo +,8,6,9,25,3,54.4
MADRID,BARCELONA,AVE,Turista,Promo,11,30,14,40,2,86.05
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,20,0,21,5,7,31.1
MADRID,BARCELONA,AVE,Turista,Promo +,10,30,13,15,4,91.5
BARCELONA,MADRID,AVE,Turista,Promo,17,0,19,45,2,86.05
BARCELONA,MADRID,AVE,Turista,Promo +,12,0,15,10,2,91.5
MADRID,BARCELONA,AVE,Turista,Promo,7,0,9,30,2,101.5
ZARAGOZA,MADRID,AVE,Turista,Promo +,20,41,22,0,1,41.8
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,8,45,9,50,1,31.1
BARCELONA,MADRID,AVE-TGV,Turista,Promo +,12,46,15,41,6,91.5
BARCELONA,MADRID,AVE,Turista,Promo +,18,0,21,10,3,91.5
TARRAGONA,MADRID,AVE,Turista,Flexible,10,33,13,10,2,82.6
TARRAGONA,MADRID,AVE,Turista,Flexible,12,33,15,10,7,82.6
MADRID,TARRAGONA,AVE-TGV,Turista,Promo,13,25,15,45,3,65.25
MADRID,ZARAGOZA,AV City,Turista,Promo +,16,35,18,5,4,24.6
MADRID,ZARAGOZA,AVE,Turista,Flexible,12,30,13,45,5,55.7
BARCELONA,MADRID,AVE,Turista,Promo +,8,0,11,10,5,91.5
VALLADOLID,MADRID,MD,Turista,Adulto ida,17,47,20,48,5,24.95
BARCELONA,MADRID,AVE,Turista,Promo,19,25,21,55,2,69.4
MADRID,VALLADOLID,MD,Turista,Adulto ida,17,12,20,5,5,24.95
MADRID,BARCELONA,AVLO,Turista,Básica,9,15,12,0,1,50.0
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,8,45,9,50,1,31.1
MADRID,TARRAGONA,AVE,Turista,Flexible,7,30,10,3,7,82.6
BARCELONA,MADRID,AVE,Turista,Promo,15,0,17,45,1,86.05
MADRID,BARCELONA,AVE,Turista,Promo +,12,30,15,30,4,81.7
MADRID,ZARAGOZA,AVE,Turista,Promo,20,45,22,6,5,44.0
TARRAGONA,MADRID,AVE,Turista,Promo +,19,32,22,0,3,61.95
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,20,35,21,40,1,31.1
TARRAGONA,MADRID,AVE,Turista,Flexible,8,33,11,10,4,82.6
ZARAGOZA,MADRID,AVE,Turista,Flexible,14,51,16,10,1,55.7
MADRID,ZARAGOZA,AVE,Turista,Promo +,19,30,20,45,1,41.8
TARRAGONA,MADRID,AVE-TGV,Turista,Promo +,13,18,15,41,2,69.4
VALLADOLID,MADRID,MD,Turista,Adulto ida,10,38,13,25,6,24.95
MADRID,ZARAGOZA,AVE,Turista,Flexible,12,30,13,45,6,55.7
ZARAGOZA,MADRID,AVE,Turista,Flexible,14,51,16,10,1,55.7
ZARAGOZA,MADRID,AVE,Turista,Promo +,15,43,17,10,4,41.8
MADRID,BARCELONA,AVE,Turista,Promo +,9,0,11,45,3,81.7
TARRAGONA,MADRID,AVE,Turista,Promo +,8,33,11,10,6,69.4
TARRAGONA,MADRID,AVE,Turista,Promo +,21,33,0,7,6,61.95
MADRID,TARRAGONA,AVE,Turista,Flexible,17,30,20,3,4,82.6
TARRAGONA,MADRID,AVE-TGV,Turista,Flexible,13,18,15,41,4,82.6
MADRID,ZARAGOZA,AVE,Turista,Promo +,20,45,22,6,5,46.8
TARRAGONA,MADRID,AVE,Turista,Flexible,16,33,19,10,3,82.6
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,6,45,7,50,3,31.1
TARRAGONA,MADRID,AVE,Turista,Flexible,14,33,17,10,3,82.6
MADRID,BARCELONA,AVE,Turista,Flexible,12,30,15,30,7,108.9
MADRID,ZARAGOZA,AVE,Turista,Promo +,6,30,7,51,5,37.3
MADRID,ZARAGOZA,AVE-TGV,Turista,Promo +,13,25,14,49,2,41.8
ZARAGOZA,MADRID,AVE,Turista,Flexible,9,43,11,10,1,55.7
ZARAGOZA,MADRID,AVE,Turista,Flexible,9,43,11,10,2,55.7
BARCELONA,MADRID,AVLO,Turista,Básica,16,25,18,55,4,35.0
BARCELONA,MADRID,AVE,Preferente,Promo,18,0,21,10,1,99.1
BARCELONA,MADRID,AVE,Turista,Promo +,13,25,16,10,2,91.5
BARCELONA,MADRID,AVE,Turista,Promo +,15,0,17,45,1,91.5
ZARAGOZA,MADRID,AVLO,Turista,Básica,10,53,12,10,7,25.0
MADRID,ZARAGOZA,AVE,Turista,Flexible,17,30,18,51,5,55.7
ZARAGOZA,MADRID,AVE,Turista,Flexible,9,43,11,10,7,55.7
MADRID,ZARAGOZA,AVE,Turista,Flexible,11,30,12,51,7,55.7
ZARAGOZA,MADRID,AVLO,Turista,Básica,21,28,22,45,3,15.0
MADRID,BARCELONA,AVE,Turista,Promo +,14,30,17,21,5,81.68
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,19,25,20,31,5,31.1
BARCELONA,MADRID,AVE,Turista,Promo +,17,0,19,45,2,91.5
MADRID,ZARAGOZA,AVLO,Turista,Básica,20,35,21,50,2,25.0
ZARAGOZA,MADRID,AVE,Turista,Flexible,8,31,9,50,1,55.7
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,6,40,7,45,2,31.1
ZARAGOZA,MADRID,AVE-TGV,Turista,Flexible,14,21,15,41,6,55.7
MADRID,ZARAGOZA,AVE,Turista,Flexible,12,30,13,45,5,55.7
MADRID,TARRAGONA,AVE,Turista Plus,Promo +,15,30,18,3,6,74.4
ZARAGOZA,MADRID,AVE,Turista,Flexible,13,43,15,10,4,55.7
ZARAGOZA,MADRID,AVE,Turista,Flexible,12,26,13,45,5,55.7
BARCELONA,MADRID,AVE,Turista,Promo +,17,0,19,45,4,91.5
MADRID,TARRAGONA,AVE,Turista,Promo +,11,30,14,3,4,69.4
MADRID,BARCELONA,AVLO,Turista,Básica,12,50,15,20,1,60.0
ZARAGOZA,MADRID,AVE,Turista,Promo +,16,26,17,45,3,46.8
MADRID,BARCELONA,AVE,Turista,Promo +,18,0,20,30,1,86.1
BARCELONA,MADRID,AVLO,Turista,Básica,12,40,15,15,1,25.0
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,16,26,17,31,4,31.1
ZARAGOZA,MADRID,AVE-TGV,Turista,Promo,14,21,15,41,3,44.0
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,7,50,8,55,2,31.1
MADRID,BARCELONA,AVE,Turista,Promo,20,0,22,30,2,48.85
MADRID,BARCELONA,AVE,Turista,Promo +,20,0,22,30,5,96.4
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,7,50,8,55,3,31.1
MADRID,BARCELONA,AVE,Turista,Promo +,11,30,14,40,6,91.48
BARCELONA,MADRID,AVE,Turista,Promo +,7,5,9,50,6,81.7
ZARAGOZA,MADRID,AVE-TGV,Turista,Flexible,14,21,15,41,6,55.7
BARCELONA,MADRID,AVE,Turista,Promo +,18,25,20,55,3,107.95
MADRID,TARRAGONA,AVE,Preferente,Promo +,19,30,22,4,6,80.55
BARCELONA,MADRID,AVE,Turista,Promo,8,25,10,55,1,101.5
MADRID,BARCELONA,AVLO,Turista,Básica,12,50,15,20,4,45.0
BARCELONA,MADRID,AVE,Preferente,Promo +,18,0,21,10,1,108.25
ZARAGOZA,MADRID,AVE,Turista,Promo,10,26,11,45,7,44.0
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,19,46,20,51,3,31.1
MADRID,BARCELONA,AVLO,Turista,Básica,9,15,12,0,6,45.0
BARCELONA,MADRID,AVE,Turista,Promo,8,25,10,55,4,101.5
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,19,25,20,31,3,31.1
TARRAGONA,MADRID,AVE,Turista,Flexible,10,33,13,10,6,82.6
BARCELONA,MADRID,AVE,Turista,Promo +,14,0,17,10,3,91.5
TARRAGONA,MADRID,AVE,Turista,Flexible,8,33,11,10,4,82.6
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,16,26,17,31,3,31.1
ZARAGOZA,MADRID,AVE-TGV,Turista,Flexible,14,21,15,41,5,55.7
MADRID,ZARAGOZA,AVE,Turista,Promo +,10,30,11,45,2,41.8
BARCELONA,MADRID,AVE,Turista,Promo +,18,0,21,10,6,91.5
BARCELONA,MADRID,AVE,Turista,Promo +,18,25,20,55,4,107.94
VALLADOLID,MADRID,MD,Turista,Adulto ida,15,54,18,42,1,24.95
BARCELONA,MADRID,AVE,Turista,Promo,18,25,20,55,3,101.5
MADRID,ZARAGOZA,AVLO,Turista,Básica,9,15,10,30,3,20.0
TARRAGONA,MADRID,AVE,Turista,Promo +,21,33,0,7,5,55.35
BARCELONA,MADRID,AVE,Turista,Promo,14,0,17,10,4,67.5
MADRID,ZARAGOZA,AVE-TGV,Turista,Flexible,13,25,14,49,5,55.7
MADRID,ZARAGOZA,AVE-TGV,Turista,Promo +,13,25,14,49,3,46.8
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,7,52,8,57,2,31.1
